,A,B,C,D,E,S
0,2.67,22.17,4.0,7.65,3.03,915.52
1,2.74,2.73,5.1,10.58,4.94,1986.51
2,3.2,21.83,4.58,12.24,8.25,4533.32
3,4.87,17.32,5.95,16.73,6.88,1472.4
4,1.89,26.38,4.41,21.21,5.42,3252.85
5,4.57,11.3,5.64,1.92,2.75,3177.73
6,1.31,23.84,4.88,16.92,8.85,2923.23
7,4.49,29.12,5.74,12.68,3.63,551.29
8,1.04,16.05,4.99,3.94,2.99,1483.51
9,4.09,2.58,5.27,17.47,5.49,1511.58
10,1.72,2.55,4.93,16.95,4.94,2684.42
11,1.62,22.72,4.53,12.74,2.1,4634.36
12,4.11,8.65,5.65,22.25,8.81,2540.52
13,3.06,23.65,5.74,1.18,4.17,4809.22
14,4.4,7.01,4.11,8.95,3.93,2885.0
15,1.89,16.65,5.1,2.0,4.53,1503.86
16,2.18,16.86,4.38,2.49,7.51,3453.5
17,3.6,16.15,5.76,5.0,7.97,3875.61
18,1.39,23.31,4.49,4.04,4.32,873.5
19,3.35,27.14,5.78,18.95,2.25,3612.91
20,1.19,10.1,5.44,1.48,3.44,728.48
21,1.83,15.49,4.84,19.9,3.2,2024.89
22,3.07,28.51,5.53,7.21,3.55,3588.0
23,4.84,21.59,6.0,5.84,4.53,3829.28
24,4.48,18.3,4.56,5.09,4.88,1028.19
25,2.23,16.54,5.54,18.36,8.09,1345.65
26,2.7,24.81,5.47,20.1,4.68,4907.55
27,3.92,17.71,4.25,9.75,7.47,2799.47
28,4.46,9.98,4.15,17.79,5.17,2940.34
29,3.58,12.66,5.33,4.6,8.74,2059.98
30,2.14,28.83,5.54,22.71,3.46,1116.13
31,4.44,12.44,5.11,22.02,7.16,4172.92
32,1.99,14.6,4.82,6.73,8.09,1332.68
33,1.15,23.84,4.19,14.92,2.1,4712.71
34,2.83,10.63,4.46,7.1,7.72,1001.06
35,3.91,18.85,5.9,4.15,7.65,2134.47
36,4.78,14.99,4.39,13.8,6.34,3579.01
37,2.54,26.07,5.89,16.46,6.44,3226.83
38,3.19,24.34,5.64,3.69,6.21,2864.82
39,2.63,3.55,5.58,7.32,5.15,1867.61
40,2.0,3.29,5.35,1.96,2.81,3217.4
41,2.5,28.62,5.46,14.17,3.09,1201.98
42,1.46,19.05,4.27,6.29,4.29,4366.12
43,4.34,4.93,5.49,8.93,4.52,3241.57
44,4.96,17.39,4.56,2.7,5.11,2627.64
45,4.14,19.78,4.5,17.68,4.19,4717.57
46,1.45,29.29,5.46,8.73,6.95,4098.22
47,1.07,26.96,4.57,7.58,7.54,1960.12
48,2.2,8.92,5.85,20.62,6.78,3050.98
49,2.98,8.39,4.51,9.72,4.64,4984.58
50,3.7,3.25,4.69,15.17,3.99,4772.02
51,4.29,2.73,4.42,14.61,2.69,3290.59
52,4.39,17.71,4.91,8.75,6.1,2910.87
53,2.68,12.17,4.37,12.4,2.06,4860.21
54,1.37,29.21,4.97,6.34,5.72,1784.95
55,4.94,11.34,5.35,5.32,4.48,4160.15
56,1.35,8.45,4.82,7.84,5.96,2952.79
57,2.46,14.63,4.99,2.66,6.0,1803.35
58,4.7,6.42,5.73,2.85,6.02,1768.73
59,2.2,7.23,4.65,15.65,5.97,2292.14
60,4.3,7.08,5.75,11.99,8.75,515.95
61,1.14,15.7,5.69,10.05,6.42,1809.24
62,3.22,13.09,4.1,12.56,3.07,2750.05
63,2.52,17.88,5.19,10.9,5.2,1902.43
64,1.87,2.88,4.57,4.8,4.12,1233.28
65,1.62,5.74,4.73,15.94,3.36,1630.45
66,3.18,26.05,5.37,8.3,2.42,2238.25
67,2.04,3.21,5.16,3.48,6.28,1833.75
68,2.18,24.65,4.7,18.37,5.93,1641.15
69,4.71,26.43,5.17,20.91,4.22,1166.04
70,1.74,12.82,5.66,5.37,8.42,4047.4
71,1.43,21.16,5.07,9.12,4.89,3145.31
72,3.57,17.08,5.02,14.43,5.45,1465.08
73,1.81,23.97,5.72,8.2,3.74,4146.64
74,3.28,3.85,5.78,21.45,6.76,2949.24
75,2.24,24.93,4.67,5.26,2.77,4830.4
76,4.68,19.98,5.51,4.06,2.61,4046.01
77,1.19,21.07,5.6,18.6,8.76,2498.09
78,3.0,15.11,5.0,4.28,7.74,1946.14
79,3.09,21.58,4.54,15.84,8.36,3583.18
80,2.42,11.54,5.87,21.1,7.86,767.7
81,2.1,19.9,5.25,18.12,5.35,4816.1
82,2.03,21.15,5.33,18.1,7.79,2105.08
83,1.18,12.37,4.48,14.83,8.93,1087.65
84,3.48,16.25,4.6,15.38,3.91,2854.07
85,1.81,7.8,4.31,17.6,3.59,3488.37
86,3.63,28.74,5.94,3.15,3.69,4408.89
87,3.59,16.2,5.06,20.72,6.9,3714.34
88,3.0,9.17,4.52,3.13,5.95,571.96
89,1.61,6.42,5.97,20.9,3.3,1704.69
90,1.8,11.21,4.59,3.05,4.33,3763.5
91,4.54,24.08,4.85,11.54,2.0,4353.65
92,3.43,20.41,4.61,22.16,5.75,3468.36
93,3.88,19.0,5.38,10.32,5.16,2266.12
94,1.92,7.34,5.77,16.82,5.73,4412.58
95,1.86,27.47,5.63,20.89,6.95,1031.34
96,4.35,29.17,4.89,7.26,7.4,1845.25
97,3.93,17.88,4.6,18.17,5.49,1035.1
98,3.69,15.67,5.65,1.69,7.66,3045.28
99,3.17,9.79,4.85,19.59,2.03,1047.06
100,3.07,17.98,4.06,4.77,6.8,4252.54
101,3.39,20.93,4.6,17.08,6.05,4140.58
102,2.73,6.88,4.34,19.21,6.11,2567.09
103,1.59,8.39,5.61,7.57,3.3,3974.62
104,1.33,11.34,5.72,3.33,5.75,786.6
105,1.03,28.72,4.9,14.42,7.96,3824.65
106,1.65,23.13,5.13,5.96,4.39,1186.21
107,1.93,2.96,5.16,3.84,6.8,3576.54
108,3.45,15.76,5.4,5.28,7.42,3685.52
109,1.46,20.44,4.75,14.48,6.76,3571.08
110,3.45,6.73,4.87,17.92,4.07,1171.23
111,2.5,19.93,5.9,2.66,7.44,4247.36
112,4.41,4.07,5.79,10.6,2.89,3091.36
113,1.61,26.32,5.85,11.75,7.36,2128.2
114,1.78,21.68,4.83,13.69,7.1,1357.43
115,2.5,11.76,5.86,1.64,2.02,4027.61
116,2.81,10.38,4.46,20.48,3.31,4692.05
117,4.77,18.22,4.12,21.0,6.49,4719.87
118,4.39,15.94,4.41,17.55,6.42,756.16
119,3.71,16.36,5.25,11.5,5.22,4778.89
120,1.45,7.9,4.47,4.34,7.81,2335.64
121,1.63,21.66,4.52,10.94,4.86,3251.94
122,3.79,10.01,4.45,13.13,7.04,2403.98
123,1.42,22.87,5.14,11.08,4.69,1732.95
124,3.03,3.61,5.26,3.92,2.92,4048.45
125,1.42,5.59,4.17,3.54,7.23,2223.71
126,3.1,3.12,4.37,18.0,5.87,888.25
127,4.47,9.37,4.26,1.92,3.67,3404.64
128,3.28,9.51,5.21,2.87,8.82,2823.53
129,1.57,10.72,5.11,3.77,5.46,4645.08
130,3.6,28.55,4.78,15.11,6.83,1069.74
131,4.12,12.67,5.66,18.2,7.61,2106.06
132,2.68,5.63,4.22,4.13,5.07,3820.56
133,4.25,14.54,5.26,20.4,6.66,4475.15
134,3.65,11.18,4.39,19.99,7.47,1208.94
135,1.61,6.15,4.43,4.35,3.69,2096.11
136,4.78,4.48,5.39,16.4,5.5,2762.16
137,4.0,21.75,4.65,21.95,7.88,849.13
138,2.96,23.09,5.87,22.1,3.11,1246.92
139,3.99,5.04,4.0,7.52,2.01,1942.87
140,4.67,16.63,4.09,10.27,7.0,1194.96
141,4.61,17.62,5.31,19.31,3.4,1072.64
142,3.95,11.52,4.94,10.33,5.98,4465.76
143,1.37,26.95,4.95,4.82,6.98,2785.89
144,2.13,2.06,5.06,2.77,6.57,3968.33
145,2.99,19.33,4.6,6.74,4.34,4560.62
146,2.47,19.72,4.06,16.21,8.56,4736.37
147,3.3,5.93,4.32,2.37,6.03,3228.82
148,4.53,29.43,5.73,19.44,8.37,4374.42
149,4.63,9.22,5.76,17.26,6.89,2827.44
150,4.08,6.95,4.62,18.61,6.02,3964.87
151,4.79,22.82,4.08,8.16,4.25,2324.93
152,1.59,16.82,4.99,2.22,5.47,4133.86
153,3.03,19.66,5.37,22.68,8.07,4227.66
154,3.61,27.79,4.35,14.65,2.75,1334.47
155,2.25,17.65,4.52,5.12,5.4,4182.34
156,4.19,18.39,4.52,6.7,7.02,3382.07
157,1.39,6.34,5.16,13.13,7.21,4194.71
158,4.16,7.5,4.31,11.41,3.98,3488.21
159,4.33,11.06,4.76,7.74,5.97,3643.86
160,4.76,11.83,4.77,3.09,3.59,3272.87
161,2.28,23.16,5.76,16.25,7.49,4590.21
162,3.76,15.27,4.9,7.44,7.67,622.21
163,2.43,10.59,4.56,19.16,5.4,3703.01
164,4.3,19.25,5.82,22.39,8.79,4155.95
165,2.19,25.16,5.53,1.59,7.5,3181.79
166,4.59,6.62,4.7,7.02,8.77,4852.6
167,3.39,16.58,4.49,8.42,7.93,3431.44
168,3.68,27.41,5.34,2.72,5.33,4708.35
169,1.21,8.35,4.54,12.1,6.18,2863.66
170,3.63,26.77,5.18,19.03,3.59,1209.84
171,1.6,5.49,4.64,15.86,6.28,4458.77
172,1.37,21.86,5.04,13.82,6.24,3947.86
173,2.84,27.1,4.38,5.54,5.62,811.63
174,4.21,9.45,5.11,14.82,2.12,4822.24
175,2.43,7.95,4.67,18.31,8.17,4386.69
176,3.01,24.0,4.89,5.11,3.97,3322.55
177,3.1,3.07,5.5,17.09,8.14,4810.2
178,4.8,10.13,5.74,18.28,4.6,2259.94
179,3.25,4.67,5.39,6.3,8.51,2713.84
180,3.1,5.19,5.14,9.93,3.27,1205.31
181,4.51,3.76,4.24,18.33,8.84,1723.48
182,4.29,26.99,5.78,11.08,3.06,3190.66
183,1.27,16.15,5.94,5.33,4.68,765.01
184,1.52,16.42,4.79,15.39,4.0,1488.35
185,3.17,20.91,5.04,19.91,6.7,3374.0
186,2.68,17.4,4.14,16.5,6.91,4147.94
187,3.05,24.11,5.12,7.53,7.66,1947.0
188,2.69,12.58,5.7,11.97,5.83,3646.74
189,3.98,19.56,5.31,16.61,7.93,4197.56
190,3.17,9.15,4.28,5.78,4.2,4183.53
191,4.03,12.25,4.85,21.5,2.41,2506.94
192,2.61,20.57,4.8,3.0,7.98,2862.71
193,4.87,22.12,5.15,13.07,6.73,3829.7
194,4.55,4.75,4.7,13.69,6.31,1568.78
195,3.76,18.18,4.1,4.94,5.55,2341.67
196,4.47,23.97,5.95,17.91,7.15,1746.51
197,3.44,28.85,4.62,2.33,5.04,2736.03
198,3.62,29.5,4.8,19.57,5.25,2951.79
199,4.79,8.34,5.19,10.42,7.35,512.87
200,1.46,22.94,5.22,18.81,6.99,1130.17
201,1.9,9.39,5.95,22.84,8.96,3071.64
202,4.39,7.29,4.9,14.76,8.79,1435.13
203,4.72,12.67,5.33,22.98,8.25,3960.86
204,4.84,17.71,5.98,19.05,8.53,2422.96
205,2.71,15.58,4.09,13.8,8.19,3307.15
206,3.01,12.25,4.89,8.96,6.45,2928.73
207,1.44,24.62,4.14,22.13,8.86,2127.83
208,4.37,11.47,5.64,14.79,4.44,3688.94
209,1.4,10.48,5.57,12.1,2.79,961.01
210,4.13,21.4,5.94,1.71,8.86,1843.78
211,1.93,27.53,4.1,1.22,4.19,1863.25
212,1.87,27.73,5.89,14.22,7.34,3747.88
213,1.19,11.96,5.82,9.91,3.83,966.28
214,1.62,15.71,4.36,5.6,3.56,879.02
215,1.14,23.83,5.37,5.65,3.69,4750.11
216,1.41,24.22,4.54,14.37,5.74,3389.21
217,2.34,6.17,5.31,18.55,8.24,1833.31
218,1.05,9.73,4.36,6.98,8.38,3655.17
219,2.44,12.46,5.28,6.08,4.33,3579.83
220,3.19,29.0,4.13,9.44,8.78,1041.95
221,3.1,21.19,5.67,15.38,2.26,1310.7
222,4.26,24.07,5.76,16.61,2.26,4409.08
223,2.93,14.24,4.05,8.79,6.85,1800.73
224,2.17,16.98,4.46,9.22,6.15,4529.05
225,4.58,11.66,5.37,16.7,4.22,4714.15
226,1.51,18.26,5.28,10.95,2.82,4214.68
227,2.7,17.17,5.38,8.61,5.07,3150.72
228,1.39,22.68,5.36,6.45,7.46,2617.09
229,3.52,26.7,4.52,7.91,8.55,3852.57
230,4.13,18.36,4.85,7.94,7.79,4565.43
231,2.31,11.69,4.29,15.35,4.17,1778.43
232,1.6,26.98,5.17,20.79,4.44,1167.91
233,1.12,9.12,5.82,22.34,3.73,3644.63
234,4.72,16.64,4.16,21.41,4.62,3314.21
235,1.31,24.7,4.23,19.23,4.46,4338.96
236,4.95,8.68,4.03,19.01,3.12,4908.3
237,1.26,9.43,5.41,21.84,8.57,4841.36
238,2.24,5.63,4.69,17.95,6.12,2858.91
239,2.17,14.05,5.57,6.37,4.32,4067.56
240,3.46,18.19,4.33,1.03,7.1,4289.67
241,3.74,3.55,5.3,13.75,4.36,983.69
242,1.83,23.9,5.21,8.61,4.83,2506.38
243,2.16,4.78,4.5,9.72,2.51,1479.4
244,4.63,5.15,4.2,2.68,8.6,4322.09
245,2.92,27.55,5.38,13.97,2.05,2347.47
246,2.46,27.41,5.66,2.89,6.38,2220.54
247,3.77,15.58,4.06,13.54,7.92,4964.76
248,3.07,24.38,5.86,14.98,6.92,2447.11
249,1.86,9.63,4.71,14.61,6.49,3713.08
250,3.55,4.88,4.53,2.74,4.47,4508.94
251,1.02,14.13,4.49,12.26,7.26,2066.52
252,2.05,21.14,5.04,12.17,2.33,3294.46
253,3.05,19.92,4.32,11.53,4.93,3556.42
254,2.86,8.24,4.64,1.7,7.45,1663.67
255,1.18,18.41,4.41,2.85,2.18,2313.22
256,4.72,24.59,5.26,17.33,7.31,1132.59
257,1.34,20.42,4.83,16.57,2.15,4232.74
258,3.76,4.82,4.53,20.26,6.96,4384.86
259,1.39,8.09,4.52,18.16,6.46,1266.75
260,4.2,15.6,5.65,14.4,2.48,3699.53
261,2.57,22.18,5.12,17.86,8.59,1545.07
262,3.29,23.22,5.13,12.48,8.42,1430.92
263,4.11,10.52,5.15,1.95,6.34,954.8
264,3.09,21.42,4.24,1.44,7.48,3030.57
265,1.32,2.07,4.49,10.39,7.13,4533.73
266,1.71,19.18,5.3,21.47,8.89,4173.33
267,1.6,21.47,5.96,5.14,6.46,3464.72
268,2.03,5.71,4.97,19.0,2.46,2060.63
269,3.78,24.64,4.1,20.88,2.95,1233.58
270,3.56,11.45,4.17,15.01,5.14,3544.19
271,1.99,26.6,5.88,7.73,5.26,1281.45
272,1.29,3.82,4.13,1.11,5.59,4627.08
273,2.13,18.82,4.32,3.08,5.71,617.15
274,2.75,23.17,5.98,21.44,2.72,1547.86
275,4.86,29.36,4.45,1.27,8.91,4434.58
276,2.94,11.16,4.11,15.39,3.38,3656.69
277,1.78,27.4,5.04,17.24,6.26,1666.29
278,3.34,15.81,5.67,17.19,3.98,615.16
279,1.53,8.84,4.99,7.69,3.73,2490.8
280,2.82,4.46,4.25,7.52,6.55,3102.07
281,2.47,12.97,4.24,7.64,8.48,4964.34
282,3.39,11.15,5.28,4.78,7.56,4694.64
283,4.38,4.9,4.05,20.33,2.92,3134.89
284,2.01,3.58,5.22,13.4,6.09,1308.09
285,1.58,8.54,4.83,7.69,8.05,2299.1
286,1.58,21.9,5.75,17.97,3.55,581.51
287,3.21,22.02,5.63,1.48,7.89,3528.49
288,3.91,16.66,4.36,16.76,8.22,2551.81
289,2.09,9.35,5.49,1.55,4.28,866.51
290,1.39,20.88,5.3,10.14,7.31,2167.78
291,2.01,12.5,5.2,11.51,4.36,4010.15
292,4.26,21.31,5.34,9.08,6.6,4370.81
293,3.67,5.82,5.24,2.47,6.77,2400.24
294,3.49,11.28,5.46,11.34,7.04,3346.99
295,2.22,22.26,5.83,3.73,5.78,513.23
296,4.8,3.48,4.14,2.09,5.01,4938.66
297,3.75,18.0,5.41,5.88,2.72,1678.03
298,2.2,13.8,5.05,22.17,8.84,3532.3
299,2.8,8.19,4.74,7.4,3.69,4019.21
300,2.35,18.62,5.35,12.67,7.02,2530.34
301,3.55,25.1,4.68,17.27,5.28,2942.56
302,4.0,9.87,5.1,18.84,6.35,2458.77
303,2.67,25.23,5.88,10.01,4.43,2341.65
304,1.62,25.78,5.04,10.26,5.37,3220.2
305,2.16,28.74,4.65,11.77,8.14,4111.41
306,2.28,13.72,4.81,20.41,7.55,603.76
307,4.14,21.29,4.04,13.94,2.8,855.17
308,4.15,24.72,5.61,11.74,4.12,3492.71
309,4.27,20.72,5.95,14.43,7.48,1907.88
310,2.82,14.31,5.47,11.23,3.33,3269.51
311,1.87,13.72,4.83,4.75,8.06,3293.05
312,1.66,17.4,5.72,14.59,8.62,3023.86
313,4.67,18.48,4.53,18.23,8.43,4223.1
314,3.47,9.82,4.25,7.94,8.98,2403.92
315,4.32,22.87,5.41,2.83,3.33,3743.11
316,2.22,22.34,5.93,13.69,3.31,3686.61
317,3.35,11.52,4.57,4.18,4.84,1482.06
318,4.99,27.64,4.29,1.31,5.33,4979.46
319,3.86,9.17,5.99,9.82,6.96,3302.59
320,4.54,4.18,5.96,6.45,7.27,2870.04
321,2.65,5.97,4.55,4.67,2.12,3100.76
322,4.89,5.09,5.81,20.26,8.83,3105.27
323,1.24,16.39,4.12,8.39,5.7,4737.1
324,4.71,29.47,4.87,16.03,6.84,3920.89
325,3.08,25.89,5.0,1.79,8.45,3310.12
326,2.79,22.28,4.57,11.21,7.0,3558.88
327,1.97,9.15,4.17,19.62,7.22,4243.49
328,3.3,12.95,4.14,19.89,7.25,2593.3
329,2.98,7.15,5.72,1.26,7.26,4700.23
330,4.79,5.25,5.41,5.22,8.23,3239.62
331,4.67,23.38,4.57,21.46,3.41,4084.54
332,3.17,22.41,4.03,8.27,4.58,717.37
333,1.95,2.91,4.25,4.75,4.03,4203.71
334,4.04,2.6,5.66,15.22,5.18,3772.24
335,2.76,27.1,4.97,6.07,8.68,2024.14
336,4.2,6.3,5.14,2.09,5.82,1535.16
337,1.47,17.75,5.03,11.01,6.73,1104.3
338,3.55,6.81,4.54,12.5,8.88,611.75
339,2.13,29.21,5.09,8.55,5.46,1675.86
340,2.06,27.94,5.46,21.67,7.72,4141.2
341,1.26,25.02,4.08,13.69,8.54,1944.1
342,1.3,20.09,5.31,10.24,3.67,4645.5
343,2.26,23.54,4.61,1.41,3.57,2003.11
344,2.48,20.62,4.99,14.25,3.71,2726.37
345,3.37,2.25,4.37,10.76,8.65,3506.94
346,2.07,10.06,5.76,17.64,6.67,3969.22
347,2.09,12.76,4.66,22.42,5.12,3935.03
348,1.86,29.18,4.95,6.2,8.41,1869.13
349,2.73,22.05,5.79,7.23,6.35,646.56
350,1.05,9.92,4.02,19.01,4.63,1233.18
